n_shared,diff_pp,ci_low_pp,ci_high_pp,p,model,domain,benchmark,cond_a,cond_b,p_holm,sig_raw,sig_holm
512,1.7578125,-0.9765625,4.4921875,0.227,qwen3,gsm8k_train,hellaswag,gdn_only,gdn_plus_mlp,1.0,False,False
299,-1.0033444816053512,-2.6755852842809364,0.33444816053511706,0.2286,falcon,ultrachat,arc_challenge,all_eligible,ssm_only,1.0,False,False
512,1.171875,-0.5859375,2.9296875,0.2288,falcon,codealpaca,mmlu,ssm_only,attention_plus_mlp,1.0,False,False
512,-1.7578125,-4.4921875,0.9765625,0.2292,qwen3,gsm8k_train,hellaswag,all_layers,gdn_only,1.0,False,False
512,1.7578125,-0.9765625,4.4921875,0.2294,qwen3,gsm8k_train,hellaswag,all_layers,softmax_plus_mlp,1.0,False,False
512,-1.7578125,-4.4921875,0.9765625,0.2316,qwen3,gsm8k_train,hellaswag,softmax_plus_mlp,gdn_plus_mlp,1.0,False,False
512,-1.7578125,-4.4921875,0.9765625,0.2318,qwen3,gsm8k_train,hellaswag,softmax_only,softmax_plus_mlp,1.0,False,False
256,-3.125,-7.8125,1.5625,0.232,falcon,ultrachat,gsm8k,attention_only,attention_plus_mlp,1.0,False,False
512,1.7578125,-0.9765625,4.4921875,0.234,qwen3,codealpaca,mmlu,mlp_only,gdn_plus_mlp,1.0,False,False
256,3.90625,-2.34375,9.765625,0.2342,falcon,gsm8k_train,gsm8k,ssm_plus_mlp,__base__,1.0,False,False
299,2.0066889632107023,-1.0033444816053512,5.016722408026756,0.2344,qwen3,gsm8k_train,arc_challenge,all_layers,softmax_only,1.0,False,False
256,3.90625,-2.34375,10.15625,0.2388,falcon,gsm8k_train,gsm8k,attention_only,ssm_only,1.0,False,False
512,0.9765625,-0.390625,2.5390625,0.2396,falcon,ultrachat,mmlu,ssm_only,ssm_plus_mlp,1.0,False,False
299,2.0066889632107023,-1.0033444816053512,5.016722408026756,0.2412,qwen3,gsm8k_train,arc_challenge,softmax_only,softmax_plus_mlp,1.0,False,False
299,-2.0066889632107023,-5.016722408026756,1.0033444816053512,0.2414,qwen3,gsm8k_train,arc_challenge,gdn_plus_mlp,__base__,1.0,False,False
512,-1.7578125,-4.497070312499996,0.9765625,0.242,qwen3,gsm8k_train,hellaswag,softmax_only,__base__,1.0,False,False
256,-3.125,-8.203125,1.953125,0.2432,falcon,codealpaca,gsm8k,attention_only,ssm_plus_mlp,1.0,False,False
